"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050808","GO:0050808","synapse organization","68/927","451/23210",2.41226517521232e-21,1.16488285311003e-17,8.89237120378269e-18,"20370/22154/17260/12540/12387/26556/330814/12298/17762/19878/11418/18472/12295/22631/73340/11820/93707/22215/108100/53972/329165/69601/53872/18645/14658/53378/269523/19744/11461/19277/11941/233878/18479/18481/382253/234267/19339/13191/54725/23988/17999/20320/216831/18190/66860/217480/319387/56013/75608/13138/104418/217692/14432/11840/12569/103172/18212/12631/12323/18213/74342/107932/18191/240057/22142/19122/93708/93706",68
"GO:0016358","GO:0016358","dendrite development","47/927","294/23210",4.01867064622845e-16,7.85615747560057e-13,5.99715828264612e-13,"20370/19158/17260/13690/12540/17756/57138/22629/19878/18472/50932/26419/11820/83814/12322/22215/108100/16412/53972/329165/69601/53872/17754/19055/15572/18479/18481/382253/17999/216831/93686/14824/211134/56013/227541/208922/23969/50772/217692/11840/12569/218194/18212/12631/12323/240057/64009",47
"GO:0099003","GO:0099003","vesicle-mediated transport in synapse","43/927","250/23210",4.8806113950718e-16,7.85615747560057e-13,5.99715828264612e-13,"13002/12725/12387/67979/12298/11540/12330/94090/12322/68566/19085/20980/20910/20614/17957/18645/20404/72685/15444/18196/11938/11461/11784/19339/17999/29873/19058/14824/18717/20979/64051/23969/56807/26431/18754/67300/12569/18751/11465/18191/229521/18951/64009",43
"GO:0050803","GO:0050803","regulation of synapse structure or activity","42/927","276/23210",8.61663185289898e-14,1.04024288044123e-10,7.94090651285585e-11,"22154/17260/12540/26556/330814/11418/18472/22631/73340/11820/22215/108100/53972/329165/69601/53872/269523/19744/19277/18481/382253/234267/13191/17999/216831/66860/217480/319387/56013/75608/13138/217692/14432/12569/18212/12631/12323/18213/74342/240057/22142/19122",42
"GO:0050807","GO:0050807","regulation of synapse organization","41/927","266/23210",1.10069872886405e-13,1.0630548323369e-10,8.11504620733035e-11,"22154/17260/12540/26556/330814/11418/18472/22631/73340/11820/22215/108100/53972/329165/69601/53872/269523/19744/19277/18481/382253/234267/13191/17999/216831/66860/217480/319387/56013/75608/13138/217692/14432/12569/18212/12631/12323/18213/74342/22142/19122",41
"GO:0050890","GO:0050890","cognition","45/927","326/23210",3.96355976631094e-13,3.19000501858592e-10,2.43515549151244e-10,"19088/17260/67979/57138/17762/22333/18472/319984/18574/11820/224938/16412/19085/329165/17536/17754/20614/14683/56710/15572/18762/114142/18479/50876/12424/12669/18190/66860/234593/67869/66797/80286/17967/53901/208922/232975/246317/18212/54006/19049/21333/66673/240057/64378/19122",45
"GO:0007611","GO:0007611","learning or memory","42/927","292/23210",6.03084763459712e-13,3.94017792979432e-10,3.00781530667561e-10,"19088/17260/67979/57138/17762/22333/18472/319984/18574/11820/224938/16412/19085/329165/17536/17754/20614/56710/15572/18762/114142/18479/50876/12424/18190/66860/234593/67869/66797/17967/53901/208922/232975/246317/18212/54006/19049/21333/66673/240057/64378/19122",42
"GO:0099504","GO:0099504","synaptic vesicle cycle","36/927","221/23210",6.52752607959299e-13,3.94017792979432e-10,3.00781530667561e-10,"13002/12725/12387/12298/11540/12330/94090/12322/19085/20980/20910/20614/17957/18645/20404/72685/11938/11461/11784/19339/29873/14824/18717/20979/64051/23969/56807/26431/18754/67300/12569/18751/11465/18191/229521/18951",36
"GO:0042391","GO:0042391","regulation of membrane potential","53/927","439/23210",7.59166213865866e-13,4.07334849639807e-10,3.10947377889855e-10,"20370/17260/11951/12298/17762/22629/20266/11540/11418/22627/52882/11820/20273/63959/57440/108013/83814/110355/12794/14718/108100/227197/11931/56428/14658/19055/269523/18762/14400/11938/108655/20312/12424/19736/232975/18754/399548/16485/103172/246317/16500/56772/70357/18212/18213/19229/13483/21333/16531/64378/72821/14705/64009",53
"GO:0050773","GO:0050773","regulation of dendrite development","33/927","191/23210",1.11472799574177e-12,5.38302149143702e-10,4.10923941167125e-10,"20370/19158/17260/13690/22629/18472/83814/22215/108100/53972/329165/69601/53872/19055/15572/18481/382253/17999/216831/14824/211134/56013/227541/208922/23969/50772/217692/11840/12569/18212/12631/12323/64009",33
