"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu04540","mmu04540","Gap junction","5/27","85/8384",6.44396727096654e-06,0.00079905194159985,0.000373071789371747,"14683/18747/18749/22154/67951",5
"mmu04928","mmu04928","Parathyroid hormone synthesis, secretion and action","5/27","108/8384",2.08189812654726e-05,0.0012907768384593,0.000602654720842628,"14683/17261/18578/18747/18749",5
"mmu05031","mmu05031","Amphetamine addiction","4/27","69/8384",6.39287587903223e-05,0.00219983294457598,0.00102708668889371,"14683/18747/18749/20907",4
"mmu05012","mmu05012","Parkinson disease","6/27","233/8384",7.83260516889793e-05,0.00219983294457598,0.00102708668889371,"14683/18747/18749/22154/67951/68015",6
"mmu04971","mmu04971","Gastric acid secretion","4/27","75/8384",8.87029413135474e-05,0.00219983294457598,0.00102708668889371,"14683/18747/18749/20604",4
"mmu05020","mmu05020","Prion disease","6/27","254/8384",0.000126252518961382,0.00248586939695245,0.00116063511742262,"12390/18747/18749/18753/22154/67951",6
"mmu04911","mmu04911","Insulin secretion","4/27","86/8384",0.000151272326499679,0.00248586939695245,0.00116063511742262,"14683/18747/18749/20907",4
"mmu04912","mmu04912","GnRH signaling pathway","4/27","89/8384",0.000172786610857343,0.00248586939695245,0.00116063511742262,"14683/18747/18749/18753",4
"mmu05032","mmu05032","Morphine addiction","4/27","90/8384",0.000180426004617516,0.00248586939695245,0.00116063511742262,"14683/18578/18747/18749",4
"mmu04916","mmu04916","Melanogenesis","4/27","99/8384",0.000260599610060934,0.00323143516475558,0.0015087345845633,"12387/14683/18747/18749",4
"mmu04962","mmu04962","Vasopressin-regulated water reabsorption","3/27","44/8384",0.000361287095341218,0.00407269089293736,0.00190151102811167,"14683/18747/18749",3
"mmu04724","mmu04724","Glutamatergic synapse","4/27","113/8384",0.000432226393705644,0.00422928397133013,0.00197462324637655,"14683/18747/18749/224997",4
"mmu05030","mmu05030","Cocaine addiction","3/27","48/8384",0.000467791164017705,0.00422928397133013,0.00197462324637655,"14683/18747/18749",3
"mmu04935","mmu04935","Growth hormone synthesis, secretion and action","4/27","116/8384",0.000477499803214692,0.00422928397133013,0.00197462324637655,"14683/18747/18749/20604",4
"mmu04024","mmu04024","cAMP signaling pathway","5/27","213/8384",0.000516465221491056,0.00426944583099273,0.00199337453908829,"14683/18578/18747/18749/20604",5
"mmu04750","mmu04750","Inflammatory mediator regulation of TRP channels","4/27","122/8384",0.000578065876445952,0.00448001054245612,0.00209168573713996,"14683/18747/18749/18753",4
"mmu04923","mmu04923","Regulation of lipolysis in adipocytes","3/27","56/8384",0.000736967075739369,0.00537552455245187,0.00250979499477804,"14683/18747/18749",3
"mmu04915","mmu04915","Estrogen signaling pathway","4/27","133/8384",0.000800274482913214,0.00551300199340214,0.00257398225498402,"14683/18747/18749/18753",4
"mmu04913","mmu04913","Ovarian steroidogenesis","3/27","61/8384",0.000946631998361414,0.00572609592205922,0.00267347432693767,"14683/18747/18749",3
"mmu04961","mmu04961","Endocrine and other factor-regulated calcium reabsorption","3/27","61/8384",0.000946631998361414,0.00572609592205922,0.00267347432693767,"14683/18747/18749",3
"mmu04270","mmu04270","Vascular smooth muscle contraction","4/27","140/8384",0.00096974205131648,0.00572609592205922,0.00267347432693767,"14683/18747/18749/18753",4
"mmu04927","mmu04927","Cortisol synthesis and secretion","3/27","72/8384",0.00153214317892873,0.00853973080763006,0.00398714086943678,"14683/18747/18749",3
"mmu04918","mmu04918","Thyroid hormone synthesis","3/27","74/8384",0.00165819972257483,0.00853973080763006,0.00398714086943678,"14683/18747/18749",3
"mmu04934","mmu04934","Cushing syndrome","4/27","162/8384",0.00166633585862823,0.00853973080763006,0.00398714086943678,"12387/14683/18747/18749",4
"mmu04924","mmu04924","Renin secretion","3/27","75/8384",0.00172359542179406,0.00853973080763006,0.00398714086943678,"14683/18747/18749",3
"mmu05100","mmu05100","Bacterial invasion of epithelial cells","3/27","76/8384",0.00179058871772888,0.00853973080763006,0.00398714086943678,"12387/12390/56378",3
"mmu04970","mmu04970","Salivary secretion","3/27","85/8384",0.00246772064007539,0.0113332355321981,0.00529140877988876,"14683/18747/18749",3
"mmu01522","mmu01522","Endocrine resistance","3/27","93/8384",0.00318710162265349,0.0140467810601876,0.00655834429805023,"14683/18747/18749",3
"mmu05414","mmu05414","Dilated cardiomyopathy","3/27","94/8384",0.00328513428020516,0.0140467810601876,0.00655834429805023,"14683/18747/18749",3
"mmu04713","mmu04713","Circadian entrainment","3/27","98/8384",0.00369578847043305,0.0147371602239888,0.00688067752393365,"14683/18747/18749",3
